time,x,y,pressure,tilt_x,tilt_y
1607469160939125,12714,7028,3754,4294967196,3300
1607469160940976,12712,7021,3782,4294967196,3300
1607469160942828,12700,7015,3805,4294967196,3300
1607469160944676,12691,7010,3831,4294967196,3300
1607469160946523,12687,7004,3856,4294967196,3300
1607469160948372,12677,6998,3882,4294967196,3300
1607469160950230,12666,6991,3907,4294967196,3300
1607469160952064,12656,6985,3930,4294967196,3300
1607469160953912,12653,6979,3953,4294967196,3300
1607469160955758,12641,6973,3976,4294967196,3300
1607469160957611,12620,6966,3995,4294967196,3300
1607469160959456,12607,6959,4011,4294967196,3300
1607469160961308,12595,6953,4029,4294967196,3300
1607469160963155,12582,6946,4047,4294967196,3300
1607469160965003,12562,6939,4065,4294967196,3300
1607469160966848,12546,6933,4081,4294967196,3300
1607469160968697,12536,6928,4095,4294967196,3300
1607469160970549,12522,6921,4095,4294967196,3300
1607469160972391,12508,6915,4095,4294967196,3300
1607469160974236,12493,6910,4095,4294967196,3300
1607469160976087,12478,6904,4095,4294967196,3300
1607469160977935,12454,6901,4095,4294967196,3300
1607469160979784,12439,6898,4095,4294967196,3300
1607469160981640,12434,6894,4095,4294967196,3300
1607469160983477,12420,6891,4095,4294967196,3300
1607469160985329,12404,6890,4095,4294967196,3300
1607469160987176,12389,6889,4095,4294967196,3300
1607469160989027,12382,6889,4095,4294967196,3300
1607469160990872,12371,6890,4095,4294967196,3300
1607469160992721,12357,6893,4095,4294967196,3300
1607469160994569,12349,6896,4095,4294967196,3200
1607469160996414,12341,6899,4095,4294967196,3200
1607469160998261,12333,6903,4095,4294967196,3200
1607469161000110,12320,6906,4095,4294967196,3200
1607469161001966,12316,6911,4070,4294967196,3200
1607469161003811,12318,6917,4048,4294967196,3200
1607469161005660,12315,6923,4011,4294967196,3200
1607469161007508,12311,6929,3951,4294967196,3200
1607469161009357,12308,6936,3856,4294967196,3200
1607469161011201,12308,6943,3731,4294967196,3200
1607469161013052,12305,6950,3551,4294967196,3200
1607469161014898,12306,6958,3272,4294967196,3200
1607469161016747,12312,6967,2844,4294967196,3200
1607469161018592,12315,6976,2260,4294967196,3200
1607469161020450,12320,6984,1429,4294967196,3300
1607469161022295,12326,6993,298,4294967196,3300
1607469161024141,12326,6993,0,4294967196,3300
1607469161025108,12328,7000,0,4294967196,3300
1607469161026105,12329,7001,0,4294967196,3300
1607469161027850,12331,7002,0,4294967196,3300
1607469161029694,12335,7004,0,4294967196,3300
1607469161031538,12341,7007,0,4294967196,3200
1607469161033385,12347,7011,0,4294967196,3200
1607469161035234,12356,7016,0,4294967196,3200
1607469161037075,12365,7021,0,4294967196,3200
1607469161038949,12374,7026,0,4294967196,3200
1607469161040776,12383,7031,0,4294967196,3200
1607469161042622,12390,7037,0,4294967196,3200
1607469161044469,12398,7043,0,4294967196,3200
1607469161046331,12401,7045,0,4294967196,3200
1607469161048166,12405,7048,0,4294967196,3200
1607469161050014,12408,7050,0,4294967196,3200
1607469161051866,12412,7053,0,4294967196,3200
1607469161053713,12416,7056,0,4294967196,3200
1607469161055559,12420,7059,0,4294967196,3200
1607469161057406,12424,7062,0,4294967196,3200
1607469161059255,12428,7066,0,4294967196,3200
1607469161061106,12431,7069,0,4294967196,3200
1607469161062947,12434,7073,0,4294967196,3200
1607469161064802,12438,7076,0,4294967196,3200
1607469161066645,12441,7079,0,4294967196,3200
1607469161068497,12443,7082,0,4294967196,3200
1607469161070349,12447,7085,0,4294967196,3200
1607469161072186,12449,7088,0,4294967196,3200
1607469161074036,12452,7090,0,4294967196,3200
1607469161075887,12454,7093,0,4294967196,3200
1607469161077730,12456,7094,0,4294967196,3200
1607469161079579,12457,7096,0,4294967196,3200
1607469161081431,12458,7097,0,4294967196,3200
1607469161083281,12459,7099,0,4294967196,3200
1607469161085126,12458,7100,0,4294967196,3200
1607469161086979,12458,7100,0,4294967196,3200
1607469161088823,12458,7101,0,4294967196,3200
1607469161090675,12457,7101,0,4294967196,3200
1607469161092518,12454,7101,0,4294967196,3200
1607469161094433,12452,7101,0,4294967196,3200
1607469161096249,12449,7101,0,4294967196,3200
1607469161098068,12447,7101,0,4294967196,3200
1607469161099914,12442,7100,0,4294967196,3200
1607469161101761,12438,7099,0,4294967196,3200
1607469161103612,12434,7098,0,4294967196,3200
1607469161105459,12430,7097,0,4294967196,3200
1607469161107305,12424,7096,0,4294967196,3200
1607469161109154,12420,7096,0,4294967196,3200
1607469161111009,12416,7096,0,4294967196,3200
1607469161112852,12412,7095,0,4294967196,3200
1607469161114695,12412,7095,0,4294967196,3200
1607469161116556,12411,7095,0,4294967196,3200
1607469161118392,12415,7096,0,4294967196,3200
1607469161120241,12417,7096,0,4294967196,3200
1607469161122087,12418,7097,0,4294967196,3200
1607469161123986,12405,7099,0,4294967196,3200
1607469161125777,12405,7099,2412,4294967196,3200
1607469161127639,12405,7100,2582,4294967196,3200
1607469161129472,12399,7100,2620,4294967196,3200
1607469161131320,12399,7101,2628,4294967196,3200
1607469161133162,12405,7102,2657,4294967196,3300
1607469161135013,12406,7102,2726,4294967196,3300
1607469161136859,12406,7103,2836,4294967196,3300
1607469161138708,12406,7104,2961,4294967196,3300
1607469161140559,12406,7105,3077,4294967196,3300
1607469161142407,12406,7105,3178,4294967196,3300
1607469161144253,12407,7105,3252,4294967196,3300
1607469161146107,12407,7105,3307,4294967196,3300
1607469161147955,12408,7106,3355,4294967196,3300
1607469161149801,12410,7107,3396,4294967196,3300
1607469161151646,12412,7107,3429,4294967196,3300
1607469161153495,12409,7108,3456,4294967196,3300
1607469161155346,12411,7109,3487,4294967196,3300
1607469161157192,12418,7110,3523,4294967196,3300
1607469161159042,12421,7112,3557,4294967196,3300
1607469161160889,12423,7113,3590,4294967196,3300
1607469161162737,12427,7113,3622,4294967196,3300
1607469161164586,12440,7114,3656,4294967196,3300
1607469161166434,12443,7115,3690,4294967196,3300
1607469161168282,12435,7114,3721,4294967196,3300
1607469161170128,12437,7114,3752,4294967196,3300
1607469161171975,12441,7114,3778,4294967196,3300
1607469161173827,12443,7114,3801,4294967196,3300
1607469161175679,12446,7114,3822,4294967196,3300
1607469161177517,12449,7114,3840,4294967196,3300
1607469161179363,12452,7114,3857,4294967196,3300
1607469161181215,12456,7112,3871,4294967196,3300
1607469161183064,12459,7111,3885,4294967196,3300
1607469161184911,12464,7110,3898,4294967196,3300
